Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/11/2009	12:24:41	Cleared Cache-Run_5^http://www.yandex.ru	93.158.134.3			http://www.yandex.ru	0	953	137	539	10481	61959	0	0	0					0	0	0	953	Launch	-1	-1	-1	0	http://www.yandex.ru	202	1	0	s2ExO4M6xUihiWaZSFdg6g	0	64	0	78	59	93	-1	100	90	76	96	0	0				6309	1334	4261	0	29707	7101	
06/11/2009	12:24:41	Cleared Cache-Run_5^http://www.yandex.ru	93.158.134.3	GET	www.yandex.ru	/	200	64	50	86	528	1024	530	0	0	Thu Jun 11 08:24:41 2009 GMT	no-cache,no-store,max-age=0,must-revalidate	text/html	gzip	3	4	1	150	Launch	-1	-1	-1	0	http://www.yandex.ru	202	1	0	s2ExO4M6xUihiWaZSFdg6g	1	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	77	5		1024	0	0	0	0	0	
06/11/2009	12:24:41	Cleared Cache-Run_5^http://www.yandex.ru	0.0.0.0	GET	img.yandex.net	/i/www/js/_utils_0.0.1.js	200	151	14	275	317	1206	892	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	application/x-javascript	gzip	3	19	1	426	Launch	-1	-1	-1	0	http://www.yandex.ru	202	1	0	s2ExO4M6xUihiWaZSFdg6g	2	100	0	100	100	100	-1	100	0	-1	100	0	0	70	21		1206	0	1206	0	0	0	315360000
06/11/2009	12:24:41	Cleared Cache-Run_5^http://www.yandex.ru	0.0.0.0	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_main/0	302	21	18	275	344	607	43	0	0	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	20	1	296	Launch	-1	-1	-1	0	http://www.yandex.ru	202	1	0	s2ExO4M6xUihiWaZSFdg6g	3	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	3	18		0	0	0	0	0	0	
06/11/2009	12:24:41	Cleared Cache-Run_5^http://www.yandex.ru	0.0.0.0	GET	yabs.yandex.ru	/count/HdAgb3bdtvu40X02Zhdq2wC4KPK5cm5fMeYXJSi5agkurGUAhVFn196yq4ba1fE53OkiKP0UGNi5	302	14	14	276	413	387	0	28	1	Thu, 11 Jun 2009 08:24:41 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	21	1	290	Launch	-1	-1	-1	0	http://www.yandex.ru	202	1	0	s2ExO4M6xUihiWaZSFdg6g	4	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	2	14		0	0	0	0	0	0	
06/11/2009	12:24:41	Cleared Cache-Run_5^http://www.yandex.ru	0.0.0.0	GET	imgl.yandex.net	/i/www/logo1.png	200	25	25	276	309	3343	3052	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	image/png		3	22	1	301	Launch	-1	-1	-1	0	http://www.yandex.ru	202	1	0	s2ExO4M6xUihiWaZSFdg6g	5	100	0	-1	100	100	-1	-1	-1	100	100	0	0	4	10		0	0	0	0	3052	0	315360000
06/11/2009	12:24:41	Cleared Cache-Run_5^http://www.yandex.ru	77.88.21.44	GET	img.yandex.net	/i/arr-news-chooser.gif	200	15	15	276	315	399	109	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	image/gif		3	23	1	291	Launch	-1	-1	-1	0	http://www.yandex.ru	202	1	0	s2ExO4M6xUihiWaZSFdg6g	6	100	0	-1	100	100	-1	-1	-1	100	100	0	0		10		0	0	0	0	109	0	315360000
06/11/2009	12:24:41	Cleared Cache-Run_5^http://www.yandex.ru	0.0.0.0	GET	img-fotki.yandex.ru	/getx/10000/photoface.162/onni-taika2311_50951_teaser	200	41	40	276	388	5230	4983	28	1	Mon, 10 Aug 2009 08:24:41 GMT	max-age=5184000	image/jpeg		3	24	1	317	Launch	-1	-1	-1	0	http://www.yandex.ru	202	1	0	s2ExO4M6xUihiWaZSFdg6g	7	100	0	-1	0	-1	-1	-1	-1	50	100	0	0	3	6		0	0	0	0	4983	705	5184000
06/11/2009	12:24:41	Cleared Cache-Run_5^http://www.yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/HdAgb4yZHsi40X00Zhdq2wC4KP6yq4ba1fE53NW2=z_2H-fK2cm9jL9AfDS87e9Ek0Ny1=gf_nifK5cm5fMfAhkDK7Um40	200	23	21	277	431	435	0	28	1	Thu, 11 Jun 2009 08:24:41 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	25	1	300	Launch	-1	-1	-1	0	http://www.yandex.ru	202	1	0	s2ExO4M6xUihiWaZSFdg6g	8	-1	-1	-1	50	100	-1	-1	-1	-1	100	0	0		6		0	0	0	0	0	0	
06/11/2009	12:24:41	Cleared Cache-Run_5^http://www.yandex.ru	0.0.0.0	GET	suggest.yandex.ru	/tsuggest-1.6.html	200	43	43	278	619	1024	762	28	1			text/html	gzip	3	26	1	321	Launch	-1	-1	-1	0	http://www.yandex.ru	202	1	0	s2ExO4M6xUihiWaZSFdg6g	9	-1	-1	100	50	-1	-1	-1	-1	-1	0	0	0	3	3		1024	0	0	0	0	0	
06/11/2009	12:24:41	Cleared Cache-Run_5^http://www.yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/resource/Qpt2_k^Sb8FDYczgOL9Sfg.png	200	84	83	348	366	6834	6621	28	1			image/png		3	25	1	432	Launch	-1	-1	-1	0	http://www.yandex.ru	202	1	0	s2ExO4M6xUihiWaZSFdg6g	10	0	0	-1	0	100	-1	-1	-1	0	100	0	0				0	0	0	0	6621	3198	
06/11/2009	12:24:41	Cleared Cache-Run_5^http://www.yandex.ru	217.73.200.169	GET	www.tns-counter.ru	/V13b****yandex_ru/ru/CP1251/tmsec=yandex_main/0	200	25	25	322	386	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	28	1	347	Launch	-1	-1	-1	0	http://www.yandex.ru	202	1	0	s2ExO4M6xUihiWaZSFdg6g	11	-1	-1	-1	50	0	-1	-1	-1	100	100	0	0		24		0	0	0	0	43	0	
06/11/2009	12:24:41	Cleared Cache-Run_5^http://www.yandex.ru	0.0.0.0	GET	yabs.yandex.ru	/count/HdAgb3bdtvu40X02Zhdq2wC4KPK5cm5fMeYXJSi5agkurGUAhVFn196yq4ba1fE53OkiKP0UGNi5	302	19	19	303	360	387	0	28	1	Thu, 11 Jun 2009 08:24:41 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	21	1	322	Launch	-1	-1	-1	0	http://www.yandex.ru	202	1	0	s2ExO4M6xUihiWaZSFdg6g	12	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	12:24:41	Cleared Cache-Run_5^http://www.yandex.ru	77.88.21.44	GET	img.yandex.net	/i/arr.png	200	15	15	316	302	639	349	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	image/png		3	23	1	331	Launch	-1	-1	-1	0	http://www.yandex.ru	202	1	0	s2ExO4M6xUihiWaZSFdg6g	13	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	349	0	315360000
06/11/2009	12:24:41	Cleared Cache-Run_5^http://www.yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/resource/flashldr006.js	200	21	16	320	354	2290	2062	28	1			application/x-javascript		3	25	1	341	Launch	-1	-1	-1	0	http://www.yandex.ru	202	1	0	s2ExO4M6xUihiWaZSFdg6g	14	0	0	0	0	100	-1	100	0	-1	100	0	0				2290	1334	2290	0	0	0	
06/11/2009	12:24:41	Cleared Cache-Run_5^http://www.yandex.ru	0.0.0.0	GET	yabs.yandex.ru	/resource/Qpt2_k^Sb8FDYczgOL9Sfg.png	200	21	21	323	355	1024	811	70	2			image/png		3	21	1	344	Launch	-1	-1	-1	0	http://www.yandex.ru	202	1	0	s2ExO4M6xUihiWaZSFdg6g	15	0	0	-1	0	100	-1	-1	-1	0	100	0	0				0	0	0	0	6621	3198	
06/11/2009	12:24:41	Cleared Cache-Run_5^http://www.yandex.ru	77.88.21.44	GET	img.yandex.net	/i/www/iconx.png	200	76	48	348	308	4712	4421	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	image/png		3	23	1	424	Launch	-1	-1	-1	0	http://www.yandex.ru	202	1	0	s2ExO4M6xUihiWaZSFdg6g	16	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	4421	0	315360000
06/11/2009	12:24:41	Cleared Cache-Run_5^http://www.yandex.ru	77.88.21.44	GET	img.yandex.net	/i/bg-fotki.png	200	6	6	475	307	836	546	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	image/png		3	23	1	481	Launch	-1	-1	-1	0	http://www.yandex.ru	202	1	0	s2ExO4M6xUihiWaZSFdg6g	17	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	546	0	315360000
06/11/2009	12:24:41	Cleared Cache-Run_5^http://www.yandex.ru	0.0.0.0	GET	img.yandex.net	/i/6.gif	200	6	6	477	300	1632	1341	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	image/gif		3	19	1	483	Launch	-1	-1	-1	0	http://www.yandex.ru	202	1	0	s2ExO4M6xUihiWaZSFdg6g	18	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	1341	0	315360000
